,time,sex,vegan,rest,games,series,books,english,USSR_lover,child_offence_Не били,child_offence_Разве что по делу,child_offence_Часто,dvach_Лучшая борда рунета,dvach_Не знаю,dvach_Ненавижу Абу,dvach_Паблик в вк,gender_Альтернативная,gender_Би,gender_Гетеро,antisemetism_Да,antisemetism_Нет,antisemetism_Я просто боюсь евреев,subject_Биология,subject_Иностранные языки,subject_Информатика,subject_История,subject_Литература,subject_Матеша,subject_Физика,subject_Химия,crimea_Мне всё равно,crimea_Отрицательно,crimea_Положительно,putin_good,rebel,Драма,Боевик,Аниме,Комедия,Фантастика,Исторический фильм,Детектив,Трагедия,Фильм ужасов
109,2019-10-06 14:22:10,0,3,1,3,5,4,3,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,False,False,False,True,True,False,False,False,True
110,2019-10-06 14:23:46,1,0,1,4,4,5,2,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False,False,False,False,False,False,True,True,True
111,2019-10-06 14:24:01,1,1,1,5,2,4,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,False,False,False,True,True,True,True,False,False
112,2019-10-06 14:24:09,1,0,1,4,1,3,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,False,True,False,False,True,False,True,False,False
113,2019-10-06 14:25:13,0,1,0,2,2,2,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,False,True,True,True,True,True,True,True,True
114,2019-10-06 14:26:29,1,5,1,7,7,7,5,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,False,False,True,False,False,False,False,False,False
115,2019-10-06 14:38:11,1,1,1,3,4,4,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,False,True,True,True,True,True,True,False,True
116,2019-10-06 14:38:15,0,1,1,5,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,False,True,False,True,True,True,True,False,False
117,2019-10-06 14:40:14,1,1,0,2,1,2,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,True,False,False,True,False,False,False,False,False
118,2019-10-06 14:44:03,0,0,1,3,2,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,False,True,True,True,True,False,True,False,False
119,2019-10-06 14:45:33,1,1,1,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,False,False,False,True,False,False,False,False,True
120,2019-10-06 14:47:06,0,1,1,5,1,0,4,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,True,True,False,True,True,False,False,False,False
